categories,id_event,id_location,indirizzo,latitude,longitude,nome,num_events,data,ora_inizio,ora_fine
"Arte,Installazioni,Product Design",1581,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,10:00:00,18:00:00
"Arte,Installazioni,Product Design",1581,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-17,10:00:00,18:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-12,18:00:00,20:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-12,18:00:00,20:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-12,21:30:00,00:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-12,23:30:00,02:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,10:00:00,13:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,14:00:00,19:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,21:30:00,23:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,23:00:00,02:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-14,14:00:00,19:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-14,18:00:00,21:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-14,21:00:00,23:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-15,14:00:00,19:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-15,16:00:00,19:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-15,21:30:00,23:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-15,23:30:00,02:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,10:00:00,13:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,10:00:00,19:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,18:00:00,21:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,21:30:00,22:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,22:30:00,02:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-17,10:00:00,19:30:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-17,18:00:00,20:00:00
"Arredo,Arte,Conferenze, workshop,Product Design",1386,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-17,21:30:00,23:00:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-12,11:00:00,20:00:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,11:00:00,20:00:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,20:00:00,23:30:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-14,11:00:00,20:00:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-15,11:00:00,20:00:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,11:00:00,20:00:00
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-17,11:00:00,20:00:00
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,10:00:00,20:00:00
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-13,14:00:00,20:30:00
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-14,10:00:00,20:00:00
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-15,10:00:00,20:00:00
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-16,10:00:00,20:00:00
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-18,10:00:00,20:00:00
