categories,id_event,latitude,longitude,participations
"('Altro', 'Arredo', 'Arte', 'Illuminazione', 'Living', 'Product Design', 'Tecnologia')",1165,45.484253,9.244298,10
"('Conferenze, workshop',)",1546,45.472506,9.187719,2
"('Party', 'Product Design')",654,45.472506,9.187719,25
"('Conferenze, workshop', 'Giochi, giocattoli', 'Product Design')",655,45.472506,9.187719,12
"('Conferenze, workshop',)",1578,45.472506,9.187719,1
"('Food & beverage', 'Party')",1573,45.472506,9.187719,4
"('Architettura', 'Arredo', 'Product Design')",781,45.472506,9.187719,36
"('Food & beverage', 'Party')",1572,45.472506,9.187719,21
"('Arredo', 'Party')",1576,45.472506,9.187719,3
"('Bagno',)",1571,45.472506,9.187719,3
"('Arte',)",1115,45.472506,9.187719,12
"('Conferenze, workshop', 'Giochi, giocattoli')",673,45.472506,9.187719,1
"('Arte',)",1569,45.472506,9.187719,3
"('Moda',)",1548,45.474713,9.183705,2
"('Altro', 'Arredo', 'Bagno', 'Living', 'Product Design')",807,45.474713,9.183705,7
"('Food & beverage', 'Living', 'Product Design')",42,45.469365,9.188341,12
"('Arredo', 'Cucina', 'Food & beverage', 'Party', 'Product Design')",1411,45.460588,9.190227,14
"('Arredo', 'Moda', 'Installazioni')",839,45.467654,9.20036,5
"('Altro', 'Arte', 'Installazioni', 'Materiali speciali', 'Product Design', 'Tecnologia')",918,45.45149,9.162278,22
"('Illuminazione', 'Product Design')",1417,45.475142,9.18587,4
"('Living', 'Product Design')",827,45.475142,9.18587,49
"('Arte', 'Installazioni')",1301,45.4381541,9.2059908,1
"('Arte', 'Moda', 'Grafica', 'Materiali speciali', 'Party', 'Product Design')",1299,45.486574,9.186747,12
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Materiali speciali', 'Product Design')",556,45.472474,9.193993,6
"('Altro', 'Architettura', 'Arredo', 'Living', 'Product Design')",794,45.472474,9.193993,16
"('Arte', 'Living', 'Materiali speciali', 'Party', 'Product Design')",1368,45.467043,9.195557,4
"('Architettura', 'Arredo')",1238,45.466195,9.206869,8
"('Architettura', 'Arredo', 'Arte', 'Illuminazione', 'Installazioni', 'Living', 'Product Design')",900,45.474479,9.186925,9
"('Altro', 'Arredo', 'Bagno', 'Giochi, giocattoli', 'Materiali speciali', 'Product Design')",1525,45.482529,9.244722,5
"('Altro', 'Arredo', 'Gioielli', 'Illuminazione', 'Product Design', 'Tecnologia')",1139,45.482529,9.244722,3
"('Moda', 'Gioielli', 'Product Design')",1195,45.482529,9.244722,3
"('Architettura', 'Conferenze, workshop')",1559,45.482529,9.244722,2
(),1560,45.482529,9.244722,1
"('Altro', 'Arredo', 'Conferenze, workshop', 'Cucina', 'Esterni', 'Moda', 'Food & beverage', 'Gioielli', 'Grafica', 'Illuminazione', 'Living', 'Materiali speciali', 'Party', 'Product Design')",73,45.482529,9.244722,22
"('Moda',)",1073,45.482529,9.244722,4
"('Arredo', 'Illuminazione', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",1531,45.482529,9.244722,1
"('Architettura', 'Arredo', 'Product Design')",906,45.482529,9.244722,1
"('Arredo', 'Arte', 'Grafica', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Party', 'Product Design')",1637,45.482529,9.244722,2
"('Arredo', 'Grafica', 'Product Design')",1646,45.482529,9.244722,3
"('Architettura', 'Arredo', 'Installazioni', 'Materiali speciali', 'Product Design')",1019,45.471946,9.187845,10
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",592,45.465645,9.20262,7
"('Food & beverage', 'Installazioni', 'Party')",1348,45.450964,9.211446,17
"('Architettura', 'Arredo', 'Bagno', 'Cucina', 'Grafica', 'Materiali speciali', 'Product Design')",1568,45.450964,9.211446,3
"('Altro', 'Arredo', 'Moda', 'Gioielli', 'Illuminazione', 'Installazioni', 'Party')",1277,45.487337,9.188244,9
"('Gioielli',)",1630,45.487337,9.188244,1
"('Arredo', 'Arte', 'Grafica', 'Installazioni', 'Living', 'Product Design')",95,45.4514093,9.1620015,23
"('Arredo', 'Arte', 'Bagno', 'Conferenze, workshop', 'Esterni', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design')",69,45.4514093,9.1620015,32
"('Arredo',)",554,45.4514093,9.1620015,7
"('Architettura', 'Arredo', 'Esterni', 'Tecnologia')",1283,45.4514093,9.1620015,18
"('Cucina', 'Materiali speciali')",1160,45.471165,9.184103,14
"('Food & beverage', 'Installazioni', 'Party', 'Product Design', 'Tecnologia')",249,45.476782,9.21489,3
