id_event,latitude,longitude,cluster
741,45.472142100000006,9.1830147,3
953,45.47492379999999,9.2102865,9
1451,45.4730412,9.186466,3
1415,45.4730412,9.186466,3
1458,45.4730412,9.186466,3
754,45.4730412,9.186466,3
1261,45.4805798,9.1878224,3
1522,45.4805798,9.1878224,3
958,45.4805798,9.1878224,3
963,45.4726281,9.2098222,9
969,45.4528874,9.166241,0
1300,45.4720985,9.1865812,3
979,45.4654294,9.1859002,22
975,45.4765691,9.2032792,9
981,45.4753967,9.2039113,9
983,45.4712698,9.1952523,1
984,45.4726682,9.1957337,1
1334,45.4621016,9.1744973,18
987,45.4621016,9.1744973,18
1166,45.4734748,9.1850698,3
989,45.4537331,9.1640107,0
1484,45.4537331,9.1640107,0
990,45.46494570000001,9.1769766,13
1009,45.4516697,9.1628374,0
1373,45.4516697,9.1628374,0
1010,45.4832141,9.2426231,7
1012,45.46816,9.1950143,1
1105,45.4540783,9.1692729,0
1033,45.46079,9.18156,10
1037,45.4827626,9.1833932,5
1043,45.4718738,9.1885976,3
1326,45.4718738,9.1885976,3
1052,45.4682283,9.1917103,19
1048,45.4654219,9.1859243,22
1296,45.4654219,9.1859243,22
1065,45.4703289,9.1989297,1
1060,45.4705554,9.1845522,3
1071,45.4534889,9.1810287,11
1078,45.457074,9.1632345,0
1260,45.4762757,9.1829583,3
725,45.4762757,9.1829583,3
1098,45.4804936,9.1868749,3
1101,45.4850063,9.2469757,7
1102,45.4718738,9.1885976,3
1330,45.4831857,9.2424646,7
1112,45.4768907,9.183535,3
1111,45.4768907,9.183535,3
1114,45.484072,9.245038699999998,7
109,45.4729742,9.1926106,1
833,45.4729742,9.1926106,1
1116,45.4539353,9.1689725,0
1117,45.4613492,9.1957768,1
1281,45.4530783,9.160796,0
1159,45.4530783,9.160796,0
1121,45.4542914,9.180052,11
1125,45.4823862,9.1869123,3
1135,45.459748,9.1797052,20
1132,45.4763222,9.1896571,3
1146,45.46611710000001,9.1841168,3
1290,45.4572789,9.1831731,12
1275,45.4626173,9.1834361,10
1140,45.4644016,9.1811591,13
1157,45.4656605,9.1804013,13
1186,45.45158370000001,9.1802343,11
1167,45.4773631,9.2087592,9
1174,45.4753944,9.183947300000002,3
1169,45.4738466,9.1872451,3
1190,45.4609179,9.1906039,1
1201,45.4738671,9.1834925,3
1216,45.4641386,9.1873706,23
1218,45.4598778,9.1906516,1
1453,45.4598778,9.1906516,1
1392,45.468918,9.2071381,16
1433,45.4674469,9.1982434,1
1435,45.4674469,9.1982434,1
1428,45.4674469,9.1982434,1
1423,45.4674469,9.1982434,1
1440,45.4674469,9.1982434,1
1306,45.4516697,9.1628374,0
1258,45.4686527,9.196504199999998,1
