id_event,latitude,longitude
888,45.450479,9.156274
102,45.451536299999994,9.1619373
916,45.451536299999994,9.1619373
1662,45.451536299999994,9.1619373
1063,45.4689203,9.1991368
1582,45.485087799999995,9.176209
31,45.485087799999995,9.176209
1581,45.485087799999995,9.176209
1386,45.485087799999995,9.176209
565,45.485087799999995,9.176209
624,45.485087799999995,9.176209
1047,45.4766103,9.195340400000001
1189,45.4766103,9.195340400000001
1107,45.4766103,9.195340400000001
1596,45.4817842,9.1871849
1590,45.465701,9.1716484
67,45.449852899999996,9.1798717
71,45.464932,9.199246
1247,45.464932,9.199246
1168,45.4645605,9.1880319
1465,45.4645605,9.1880319
1504,45.4529518,9.1677228
1113,45.4732053,9.1878519
1090,45.4703618,9.196624499999999
877,45.4738657,9.2065545
1061,45.463997799999994,9.1674966
920,45.463997799999994,9.1674966
595,45.4753179,9.1851803
1244,45.4669201,9.1954899
1248,45.4644658,9.197994
1036,45.451536299999994,9.1619373
1124,45.4529393,9.160143
1577,45.461758,9.209307
1610,45.461758,9.209307
1570,45.461758,9.209307
1031,45.461758,9.209307
1335,45.4828846,9.1834426
80,45.47521,9.1859273
793,45.47521,9.1859273
37,45.4667929,9.1990133
567,45.452391399999996,9.1668523
1454,45.4716661,9.202239800000001
1137,45.4716661,9.202239800000001
57,45.47074370000001,9.196161
1055,45.480204,9.22692
1325,45.4539498,9.1589414
1609,45.464161100000005,9.190335699999999
620,45.479739,9.194123699999999
1072,45.461810899999996,9.1867816
1328,45.467021,9.19639
89,45.4518696,9.156274
47,45.4518696,9.156274
84,45.467151,9.200865
641,45.455059000000006,9.167535
70,45.472363,9.185367999999999
1457,45.472363,9.185367999999999
1459,45.472363,9.185367999999999
1508,45.468872999999995,9.202058000000001
941,45.468872999999995,9.202058000000001
1502,45.468872999999995,9.202058000000001
1477,45.468872999999995,9.202058000000001
909,45.468872999999995,9.202058000000001
961,45.45149,9.162261500000001
1492,45.453571000000004,9.16987
924,45.486377000000005,9.15784
635,45.483938,9.243236
631,45.483938,9.243236
940,45.483938,9.243236
636,45.483938,9.243236
637,45.483938,9.243236
938,45.483938,9.243236
885,45.483938,9.243236
934,45.483938,9.243236
1016,45.483938,9.243236
937,45.483938,9.243236
1150,45.484253,9.244297999999999
844,45.484253,9.244297999999999
1212,45.484253,9.244297999999999
848,45.484253,9.244297999999999
1165,45.484253,9.244297999999999
1546,45.472506,9.187719
654,45.472506,9.187719
655,45.472506,9.187719
1578,45.472506,9.187719
1573,45.472506,9.187719
781,45.472506,9.187719
1572,45.472506,9.187719
1576,45.472506,9.187719
1571,45.472506,9.187719
1115,45.472506,9.187719
673,45.472506,9.187719
1569,45.472506,9.187719
1665,45.472506,9.187719
1548,45.474713,9.183705
807,45.474713,9.183705
42,45.469365,9.188341000000001
1411,45.460588,9.190227
839,45.467653999999996,9.20036
918,45.45149,9.162278
1417,45.475142,9.18587
827,45.475142,9.18587
1301,45.438154100000006,9.2059908
857,45.45149,9.162278
1299,45.486574,9.186747
556,45.472474,9.193992999999999
794,45.472474,9.193992999999999
1368,45.467043,9.195557
1238,45.466195,9.206869000000001
606,45.466195,9.206869000000001
